,Humidity,Temperature,Steps,Stress
96,25.89,94.89,144,2
97,29.5,98.5,150,2
98,21.38,90.38,128,1
99,14.18,83.18,54,0
100,19.0,88.0,81,1
101,28.68,97.68,139,2
102,12.54,81.54,72,0
103,21.26,90.26,116,1
104,11.77,80.77,86,0
105,20.44,89.44,110,1
106,22.59,91.59,105,1
107,10.31,79.31,31,0
108,10.6,79.6,60,0
109,17.5,86.5,22,1
110,24.08,93.08,176,2
111,22.64,91.64,110,1
112,18.53,87.53,34,1
113,28.95,97.95,166,2
114,25.78,94.78,133,2
115,17.24,86.24,87,1
116,24.0,93.0,168,2
117,25.63,94.63,189,2
118,20.73,89.73,101,1
119,29.06,98.06,177,2
120,19.84,88.84,126,1
121,17.21,86.21,84,1
122,18.65,87.65,46,1
123,21.68,90.68,120,1
124,12.58,81.58,76,0
125,13.22,82.22,49,0
126,22.42,91.42,118,1
127,27.8,96.8,193,2
128,29.79,98.79,179,2
129,11.92,80.92,10,0
130,13.28,82.28,55,0
131,10.4,79.4,40,0
132,20.11,89.11,115,1
133,13.46,82.46,73,0
134,13.95,82.95,31,0
135,27.86,96.86,199,2
136,20.63,89.63,129,1
137,18.07,87.07,79,1
138,19.97,88.97,101,1
139,14.16,83.16,52,0
140,28.45,97.45,187,2
141,28.36,97.36,178,2
142,29.3,98.3,130,2
143,19.26,88.26,106,1
144,29.78,98.78,178,2
145,23.93,92.93,161,2
146,28.62,97.62,133,2
147,25.19,94.19,145,2
148,23.78,92.78,146,2
149,28.22,97.22,164,2
150,21.39,90.39,129,1
151,17.88,86.88,60,1
152,29.94,98.94,194,2
153,21.05,90.05,95,1
154,29.89,98.89,189,2
155,28.84,97.84,155,2
156,26.06,95.06,161,2
157,24.4,93.4,137,2
158,16.79,85.79,42,1
159,26.03,95.03,158,2
160,26.38,95.38,193,2
161,10.46,79.46,46,0
162,21.97,90.97,111,1
163,26.32,95.32,187,2
164,26.46,95.46,130,2
165,12.74,81.74,1,0
166,29.37,98.37,137,2
167,14.83,83.83,28,0
168,16.88,85.88,51,1
169,10.92,79.92,1,0
170,11.45,80.45,54,0
171,14.35,83.35,71,0
172,15.21,84.21,66,1
173,27.14,96.14,198,2
174,16.54,85.54,17,1
175,11.84,80.84,2,0
176,17.56,86.56,28,1
177,28.87,97.87,158,2
178,11.88,80.88,6,0
179,13.62,82.62,89,0
180,15.86,84.86,40,1
181,29.91,98.91,191,2
182,25.87,94.87,142,2
183,24.62,93.62,159,2
184,23.82,92.82,150,2
185,26.64,95.64,148,2
186,29.86,98.86,186,2
187,28.25,97.25,167,2
188,16.82,85.82,45,1
189,26.61,95.61,145,2
190,21.27,90.27,117,1
191,24.78,93.78,175,2
192,27.43,96.43,156,2
193,16.56,85.56,19,1
194,13.0,82.0,27,0
195,19.14,88.14,94,1
196,16.04,85.04,58,1
197,25.96,94.96,151,2
198,25.41,94.41,167,2
199,22.71,91.71,117,1
200,14.59,83.59,4,0
201,14.77,83.77,22,0
202,14.07,83.07,43,0
203,11.09,80.09,18,0
204,10.52,79.52,52,0
205,22.06,91.06,120,1
206,17.77,86.77,49,1
207,12.56,81.56,74,0
208,20.98,89.98,126,1
209,27.17,96.17,130,2
210,10.65,79.65,65,0
211,11.32,80.32,41,0
212,22.09,91.09,123,1
213,20.93,89.93,121,1
214,14.92,83.92,37,0
215,21.98,90.98,112,1
216,21.78,90.78,92,1
217,10.33,79.33,33,0
218,12.61,81.61,79,0
219,19.09,88.09,90,1
220,26.19,95.19,174,2
221,27.11,96.11,195,2
222,23.59,92.59,198,2
223,27.26,96.26,139,2
224,29.35,98.35,135,2
225,19.99,88.99,103,1
226,22.18,91.18,94,1
227,14.36,83.36,72,0
228,12.41,81.41,59,0
229,11.48,80.48,57,0
230,15.43,84.43,88,1
231,18.93,87.93,74,1
232,14.42,83.42,78,0
233,18.74,87.74,55,1
234,10.21,79.21,21,0
235,26.98,95.98,182,2
236,22.41,91.41,117,1
237,21.74,90.74,126,1
238,17.44,86.44,16,1
239,27.99,96.99,141,2
240,25.44,94.44,170,2
241,16.93,85.93,56,1
242,11.1,80.1,19,0
243,25.16,94.16,142,2
244,17.53,86.53,25,1
245,13.58,82.58,85,0
246,12.72,81.72,90,0
247,27.69,96.69,182,2
248,26.24,95.24,179,2
249,23.67,92.67,135,2
250,16.01,85.01,55,1
251,22.04,91.04,118,1
252,25.32,94.32,158,2
253,15.97,84.97,51,1
254,13.94,82.94,30,0
255,22.39,91.39,115,1
256,11.55,80.55,64,0
257,10.19,79.19,19,0
258,14.28,83.28,64,0
259,24.01,93.01,169,2
260,19.57,88.57,99,1
261,21.92,90.92,106,1
262,12.86,81.86,13,0
263,20.09,89.09,113,1
264,19.45,88.45,125,1
265,21.15,90.15,105,1
266,18.79,87.79,60,1
267,20.31,89.31,97,1
268,10.85,79.85,85,0
269,12.49,81.49,67,0
270,27.23,96.23,136,2
271,20.1,89.1,114,1
272,11.87,80.87,5,0
273,29.11,98.11,182,2
274,11.9,80.9,8,0
275,21.17,90.17,107,1
276,10.2,79.2,20,0
277,11.52,80.52,61,0
278,22.62,91.62,108,1
279,24.7,93.7,167,2
280,23.38,92.38,177,2
281,23.44,92.44,183,2
282,26.86,95.86,170,2
283,25.01,94.01,198,2
284,26.55,95.55,139,2
285,19.34,88.34,114,1
286,27.13,96.13,197,2
287,23.52,92.52,191,2
288,11.02,80.02,11,0
289,28.26,97.26,168,2
290,22.0,91.0,114,1
291,10.1,79.1,10,0
292,12.63,81.63,81,0
293,25.14,94.14,140,2
294,20.46,89.46,112,1
295,11.54,80.54,63,0
296,14.22,83.22,58,0
297,12.55,81.55,73,0
298,11.05,80.05,14,0
299,18.87,87.87,68,1
300,20.08,89.08,112,1
301,20.24,89.24,128,1
302,24.85,93.85,182,2
303,18.47,87.47,28,1
304,17.32,86.32,4,1
305,26.21,95.21,176,2
306,23.32,92.32,171,2
307,16.2,85.2,74,1
308,26.83,95.83,167,2
309,29.17,98.17,188,2
310,13.16,82.16,43,0
311,20.68,89.68,96,1
312,24.23,93.23,191,2
313,15.99,84.99,53,1
314,23.18,92.18,157,2
315,11.66,80.66,75,0
316,29.77,98.77,177,2
317,11.21,80.21,30,0
318,14.58,83.58,3,0
319,10.3,79.3,30,0
320,10.81,79.81,81,0
321,28.09,97.09,151,2
322,18.71,87.71,52,1
323,22.56,91.56,102,1
324,12.15,81.15,33,0
325,17.85,86.85,57,1
326,25.21,94.21,147,2
327,28.66,97.66,137,2
328,18.7,87.7,51,1
329,15.65,84.65,19,1
330,27.7,96.7,183,2
331,26.14,95.14,169,2
332,15.07,84.07,52,1
333,15.27,84.27,72,1
334,28.14,97.14,156,2
335,24.25,93.25,193,2
336,23.77,92.77,145,2
337,28.7,97.7,141,2
338,17.42,86.42,14,1
339,27.36,96.36,149,2
340,24.88,93.88,185,2
341,10.23,79.23,23,0
342,14.21,83.21,57,0
343,10.08,79.08,8,0
344,28.49,97.49,191,2
345,22.13,91.13,127,1
346,18.33,87.33,14,1
347,19.32,88.32,112,1
348,21.58,90.58,110,1
349,21.55,90.55,107,1
350,23.26,92.26,165,2
351,15.79,84.79,33,1
352,16.73,85.73,36,1
353,21.63,90.63,115,1
354,18.78,87.78,59,1
355,19.4,88.4,120,1
356,13.08,82.08,35,0
357,25.26,94.26,152,2
358,11.67,80.67,76,0
359,12.4,81.4,58,0
360,17.84,86.84,56,1
361,29.41,98.41,141,2
362,15.24,84.24,69,1
363,25.43,94.43,169,2
364,25.66,94.66,192,2
365,23.79,92.79,147,2
366,17.06,86.06,69,1
367,29.29,98.29,200,2
368,24.39,93.39,136,2
369,10.78,79.78,78,0
370,17.48,86.48,20,1
371,20.91,89.91,119,1
372,19.85,88.85,127,1
373,17.15,86.15,78,1
374,28.29,97.29,171,2
375,17.38,86.38,10,1
376,14.31,83.31,67,0
377,23.27,92.27,166,2
378,20.22,89.22,126,1
379,25.97,94.97,152,2
380,14.11,83.11,47,0
381,18.32,87.32,13,1
382,19.19,88.19,99,1
383,24.64,93.64,161,2
384,22.82,91.82,128,1
385,23.74,92.74,142,2
386,11.25,80.25,34,0
387,29.58,98.58,158,2
388,16.14,85.14,68,1
389,11.59,80.59,68,0
390,10.24,79.24,24,0
391,27.81,96.81,194,2
392,12.11,81.11,29,0
393,17.89,86.89,61,1
394,16.65,85.65,28,1
395,16.25,85.25,79,1
396,15.44,84.44,89,1
397,14.05,83.05,41,0
398,10.77,79.77,77,0
399,20.47,89.47,113,1
400,26.26,95.26,181,2
401,28.13,97.13,155,2
402,20.33,89.33,99,1
403,27.02,96.02,186,2
404,22.08,91.08,122,1
405,21.75,90.75,127,1
406,26.81,95.81,165,2
407,15.72,84.72,26,1
408,28.63,97.63,134,2
409,19.68,88.68,110,1
410,20.9,89.9,118,1
411,12.32,81.32,50,0
412,10.36,79.36,36,0
413,21.31,90.31,121,1
414,21.51,90.51,103,1
415,14.99,83.99,44,0
416,21.71,90.71,123,1
417,21.48,90.48,100,1
418,14.44,83.44,80,0
419,18.68,87.68,49,1
420,29.68,98.68,168,2
421,24.97,93.97,194,2
422,29.92,98.92,192,2
423,16.38,85.38,1,1
424,27.39,96.39,152,2
425,12.02,81.02,20,0
426,11.38,80.38,47,0
427,20.12,89.12,116,1
428,14.09,83.09,45,0
429,24.35,93.35,132,2
430,28.97,97.97,168,2
431,29.02,98.02,173,2
432,28.28,97.28,170,2
433,16.84,85.84,47,1
434,26.43,95.43,198,2
435,29.48,98.48,148,2
436,17.41,86.41,13,1
437,25.04,94.04,130,2
438,15.51,84.51,5,1
439,13.24,82.24,51,0
440,16.76,85.76,39,1
441,24.28,93.28,196,2
442,22.73,91.73,119,1
443,16.28,85.28,82,1
444,14.71,83.71,16,0
445,19.21,88.21,101,1
446,24.24,93.24,192,2
447,14.88,83.88,33,0
448,18.5,87.5,31,1
449,15.96,84.96,50,1
450,10.44,79.44,44,0
451,25.73,94.73,199,2
452,27.77,96.77,190,2
453,10.29,79.29,29,0
454,18.72,87.72,53,1
455,20.48,89.48,114,1
456,24.33,93.33,130,2
457,15.42,84.42,87,1
458,28.05,97.05,147,2
459,17.72,86.72,44,1
460,12.22,81.22,40,0
461,18.52,87.52,33,1
462,25.06,94.06,132,2
463,10.34,79.34,34,0
464,26.35,95.35,190,2
465,10.95,79.95,4,0
466,15.64,84.64,18,1
467,10.48,79.48,48,0
468,12.25,81.25,43,0
469,14.73,83.73,18,0
470,20.97,89.97,125,1
471,23.3,92.3,169,2
472,21.11,90.11,101,1
473,19.36,88.36,116,1
474,25.17,94.17,143,2
475,10.96,79.96,5,0
476,27.49,96.49,162,2
477,29.63,98.63,163,2
478,27.87,96.87,200,2
479,17.63,86.63,35,1
480,29.2,98.2,191,2
481,24.43,93.43,140,2
482,20.07,89.07,111,1
483,28.3,97.3,172,2
484,14.1,83.1,46,0
485,23.96,92.96,164,2
486,13.8,82.8,16,0
487,11.24,80.24,33,0
488,25.83,94.83,138,2
489,29.09,98.09,180,2
490,19.65,88.65,107,1
491,15.12,84.12,57,1
492,13.48,82.48,75,0
493,29.53,98.53,153,2
494,22.65,91.65,111,1
495,22.38,91.38,114,1
496,27.82,96.82,195,2
497,14.96,83.96,41,0
498,11.29,80.29,38,0
499,19.22,88.22,102,1
500,10.82,79.82,82,0
501,26.05,95.05,160,2
502,23.68,92.68,136,2
503,28.64,97.64,135,2
504,13.72,82.72,8,0
505,19.05,88.05,86,1
506,15.02,84.02,47,1
507,20.23,89.23,127,1
508,10.63,79.63,63,0
509,20.61,89.61,127,1
510,11.07,80.07,16,0
511,16.97,85.97,60,1
512,23.15,92.15,154,2
513,28.07,97.07,149,2
514,13.81,82.81,17,0
515,16.68,85.68,31,1
516,27.95,96.95,137,2
517,14.9,83.9,35,0
518,17.87,86.87,59,1
519,22.43,91.43,119,1
520,13.36,82.36,63,0
521,17.34,86.34,6,1
522,17.29,86.29,1,1
523,15.87,84.87,41,1
524,10.39,79.39,39,0
525,22.61,91.61,107,1
526,23.33,92.33,172,2
527,29.12,98.12,183,2
528,26.27,95.27,182,2
529,25.52,94.52,178,2
530,19.3,88.3,110,1
531,19.72,88.72,114,1
532,16.57,85.57,20,1
533,23.07,92.07,146,2
534,12.03,81.03,21,0
535,11.78,80.78,87,0
536,28.19,97.19,161,2
537,26.8,95.8,164,2
538,16.3,85.3,84,1
539,20.87,89.87,115,1
540,12.13,81.13,31,0
541,18.69,87.69,50,1
542,13.83,82.83,19,0
543,17.27,86.27,90,1
544,18.86,87.86,67,1
545,24.13,93.13,181,2
546,16.39,85.39,2,1
547,25.39,94.39,165,2
548,15.68,84.68,22,1
549,27.76,96.76,189,2
550,17.68,86.68,40,1
551,16.05,85.05,59,1
552,12.62,81.62,80,0
553,22.11,91.11,125,1
554,14.51,83.51,87,0
555,21.61,90.61,113,1
556,22.54,91.54,100,1
557,11.13,80.13,22,0
558,15.81,84.81,35,1
559,23.06,92.06,145,2
560,16.98,85.98,61,1
561,22.22,91.22,98,1
562,13.67,82.67,3,0
563,11.46,80.46,55,0
564,13.1,82.1,37,0
565,24.66,93.66,163,2
566,10.28,79.28,28,0
567,11.98,80.98,16,0
568,26.28,95.28,183,2
569,20.65,89.65,93,1
570,23.45,92.45,184,2
571,19.91,88.91,95,1
572,24.21,93.21,189,2
573,13.39,82.39,66,0
574,28.77,97.77,148,2
575,18.34,87.34,15,1
576,26.48,95.48,132,2
577,27.03,96.03,187,2
578,16.69,85.69,32,1
579,25.42,94.42,168,2
580,17.08,86.08,71,1
581,28.27,97.27,169,2
582,22.05,91.05,119,1
583,24.91,93.91,188,2
584,16.95,85.95,58,1
585,22.89,91.89,127,1
586,24.98,93.98,195,2
587,29.84,98.84,184,2
588,25.09,94.09,135,2
589,22.49,91.49,125,1
590,29.87,98.87,187,2
591,11.64,80.64,73,0
592,11.16,80.16,25,0
593,18.13,87.13,85,1
594,10.03,79.03,3,0
595,11.81,80.81,90,0
596,24.96,93.96,193,2
597,23.63,92.63,131,2
598,27.29,96.29,142,2
599,10.66,79.66,66,0
600,18.02,87.02,74,1
601,12.76,81.76,3,0
602,14.66,83.66,11,0
603,29.36,98.36,136,2
604,24.47,93.47,144,2
605,16.44,85.44,7,1
606,16.09,85.09,63,1
607,25.77,94.77,132,2
608,29.33,98.33,133,2
609,10.42,79.42,42,0
610,25.23,94.23,149,2
611,29.21,98.21,192,2
612,23.53,92.53,192,2
613,20.72,89.72,100,1
614,19.81,88.81,123,1
615,13.41,82.41,68,0
616,29.51,98.51,151,2
617,25.79,94.79,134,2
618,17.66,86.66,38,1
619,11.12,80.12,21,0
620,17.52,86.52,24,1
621,11.69,80.69,78,0
622,25.56,94.56,182,2
623,18.0,87.0,72,1
624,17.46,86.46,18,1
625,29.24,98.24,195,2
626,19.87,88.87,129,1
627,20.59,89.59,125,1
628,20.95,89.95,123,1
629,11.95,80.95,13,0
630,13.02,82.02,29,0
631,12.48,81.48,66,0
632,29.57,98.57,157,2
633,19.82,88.82,124,1
634,17.31,86.31,3,1
635,11.93,80.93,11,0
636,25.99,94.99,154,2
637,18.8,87.8,61,1
638,16.24,85.24,78,1
639,19.17,88.17,97,1
640,28.92,97.92,163,2
641,11.19,80.19,28,0
642,28.99,97.99,170,2
643,21.54,90.54,106,1
644,27.01,96.01,185,2
645,16.22,85.22,76,1
646,11.94,80.94,12,0
647,24.94,93.94,191,2
648,22.32,91.32,108,1
649,27.68,96.68,181,2
650,29.88,98.88,188,2
651,26.33,95.33,188,2
652,13.21,82.21,48,0
653,27.09,96.09,193,2
654,24.18,93.18,186,2
655,27.41,96.41,154,2
656,14.89,83.89,34,0
657,21.1,90.1,100,1
658,23.58,92.58,197,2
659,13.99,82.99,35,0
660,20.75,89.75,103,1
661,27.08,96.08,192,2
662,21.37,90.37,127,1
663,11.23,80.23,32,0
664,21.23,90.23,113,1
665,25.13,94.13,139,2
666,15.74,84.74,28,1
667,10.11,79.11,11,0
668,20.17,89.17,121,1
669,10.57,79.57,57,0
670,22.53,91.53,129,1
671,15.08,84.08,53,1
672,12.39,81.39,57,0
673,15.56,84.56,10,1
674,25.61,94.61,187,2
675,11.03,80.03,12,0
676,14.62,83.62,7,0
677,21.79,90.79,93,1
678,15.66,84.66,20,1
679,10.99,79.99,8,0
680,28.18,97.18,160,2
681,17.12,86.12,75,1
682,16.96,85.96,59,1
683,22.76,91.76,122,1
684,18.14,87.14,86,1
685,14.19,83.19,55,0
686,20.7,89.7,98,1
687,17.67,86.67,39,1
688,13.73,82.73,9,0
689,20.71,89.71,99,1
690,13.27,82.27,54,0
691,23.39,92.39,178,2
692,11.44,80.44,53,0
693,26.15,95.15,170,2
694,14.68,83.68,13,0
695,23.03,92.03,142,2
696,22.3,91.3,106,1
697,28.32,97.32,174,2
698,28.4,97.4,182,2
699,12.17,81.17,35,0
700,18.04,87.04,76,1
701,10.9,79.9,90,0
702,12.12,81.12,30,0
703,19.66,88.66,108,1
704,20.88,89.88,116,1
705,14.5,83.5,86,0
706,12.51,81.51,69,0
707,14.2,83.2,56,0
708,11.79,80.79,88,0
709,16.27,85.27,81,1
710,22.31,91.31,107,1
711,10.67,79.67,67,0
712,13.07,82.07,34,0
713,15.03,84.03,48,1
714,23.31,92.31,170,2
715,10.53,79.53,53,0
716,28.52,97.52,194,2
717,28.43,97.43,185,2
718,10.49,79.49,49,0
719,16.18,85.18,72,1
720,22.52,91.52,128,1
721,17.11,86.11,74,1
722,13.55,82.55,82,0
723,28.23,97.23,165,2
724,26.2,95.2,175,2
725,26.04,95.04,159,2
726,25.59,94.59,185,2
727,25.8,94.8,135,2
728,23.69,92.69,137,2
729,15.41,84.41,86,1
730,19.67,88.67,109,1
731,21.07,90.07,97,1
732,19.8,88.8,122,1
733,25.33,94.33,159,2
734,13.45,82.45,72,0
735,21.19,90.19,109,1
736,14.67,83.67,12,0
737,22.48,91.48,124,1
738,29.13,98.13,184,2
739,17.71,86.71,43,1
740,12.42,81.42,60,0
741,11.97,80.97,15,0
742,12.93,81.93,20,0
743,28.76,97.76,147,2
744,25.27,94.27,153,2
745,24.2,93.2,188,2
746,10.05,79.05,5,0
747,14.6,83.6,5,0
748,25.86,94.86,141,2
749,22.7,91.7,116,1
750,17.75,86.75,47,1
751,18.27,87.27,8,1
752,28.61,97.61,132,2
753,11.61,80.61,70,0
754,29.6,98.6,160,2
755,26.12,95.12,167,2
756,15.19,84.19,64,1
757,18.48,87.48,29,1
758,22.28,91.28,104,1
759,11.0,80.0,9,0
760,11.26,80.26,35,0
761,19.77,88.77,119,1
762,23.23,92.23,162,2
763,18.66,87.66,47,1
764,21.5,90.5,102,1
765,12.83,81.83,10,0
766,24.9,93.9,187,2
767,27.46,96.46,159,2
768,29.56,98.56,156,2
769,19.63,88.63,105,1
770,22.44,91.44,120,1
771,13.74,82.74,10,0
772,26.4,95.4,195,2
773,19.62,88.62,104,1
774,29.04,98.04,175,2
775,20.62,89.62,128,1
776,12.38,81.38,56,0
777,18.21,87.21,2,1
778,21.64,90.64,116,1
779,18.24,87.24,5,1
780,10.35,79.35,35,0
781,14.47,83.47,83,0
782,21.16,90.16,106,1
783,16.63,85.63,26,1
784,23.11,92.11,150,2
785,13.37,82.37,64,0
786,14.8,83.8,25,0
787,29.96,98.96,196,2
788,17.62,86.62,34,1
789,29.28,98.28,199,2
790,17.97,86.97,69,1
791,27.57,96.57,170,2
792,24.27,93.27,195,2
793,18.12,87.12,84,1
794,23.02,92.02,141,2
795,26.08,95.08,163,2
796,20.04,89.04,108,1
797,18.58,87.58,39,1
798,13.76,82.76,12,0
799,16.9,85.9,53,1
800,27.62,96.62,175,2
801,21.84,90.84,98,1
802,26.97,95.97,181,2
803,19.6,88.6,102,1
804,26.47,95.47,131,2
805,11.68,80.68,77,0
806,18.59,87.59,40,1
807,20.25,89.25,129,1
808,17.17,86.17,80,1
809,24.92,93.92,189,2
810,23.87,92.87,155,2
811,22.87,91.87,125,1
812,17.6,86.6,32,1
813,14.86,83.86,31,0
814,19.71,88.71,113,1
815,28.9,97.9,161,2
816,18.92,87.92,73,1
817,26.49,95.49,133,2
818,19.02,88.02,83,1
819,29.65,98.65,165,2
820,27.55,96.55,168,2
821,29.54,98.54,154,2
822,24.58,93.58,155,2
823,26.34,95.34,189,2
824,18.94,87.94,75,1
825,14.27,83.27,63,0
826,28.82,97.82,153,2
827,14.78,83.78,23,0
828,15.77,84.77,31,1
829,18.81,87.81,62,1
830,12.44,81.44,62,0
831,27.33,96.33,146,2
832,24.63,93.63,160,2
833,20.82,89.82,110,1
834,19.98,88.98,102,1
835,18.63,87.63,44,1
836,20.06,89.06,110,1
837,17.51,86.51,23,1
838,28.21,97.21,163,2
839,18.55,87.55,36,1
840,20.28,89.28,94,1
841,22.02,91.02,116,1
842,29.52,98.52,152,2
843,28.71,97.71,142,2
844,10.83,79.83,83,0
845,15.17,84.17,62,1
846,12.1,81.1,28,0
847,20.38,89.38,104,1
848,26.57,95.57,141,2
849,19.31,88.31,111,1
850,13.64,82.64,0,0
851,28.75,97.75,146,2
852,26.65,95.65,149,2
853,16.11,85.11,65,1
854,26.29,95.29,184,2
855,22.6,91.6,106,1
856,27.32,96.32,145,2
857,21.49,90.49,101,1
858,19.5,88.5,92,1
859,25.51,94.51,177,2
860,25.38,94.38,164,2
861,13.52,82.52,79,0
862,21.25,90.25,115,1
863,14.45,83.45,81,0
864,11.28,80.28,37,0
865,12.65,81.65,83,0
866,10.18,79.18,18,0
867,17.8,86.8,52,1
868,14.53,83.53,89,0
869,30.0,99.0,200,2
870,13.96,82.96,32,0
871,12.45,81.45,63,0
872,21.56,90.56,108,1
873,17.43,86.43,15,1
874,16.43,85.43,6,1
875,22.34,91.34,110,1
876,15.61,84.61,15,1
877,13.38,82.38,65,0
878,11.62,80.62,71,0
879,15.92,84.92,46,1
880,12.95,81.95,22,0
881,20.58,89.58,124,1
882,23.08,92.08,147,2
883,27.83,96.83,196,2
884,28.11,97.11,153,2
885,25.18,94.18,144,2
886,29.71,98.71,171,2
887,19.46,88.46,126,1
888,23.05,92.05,144,2
889,16.33,85.33,87,1
890,12.24,81.24,42,0
891,22.15,91.15,129,1
892,19.74,88.74,116,1
893,17.25,86.25,88,1
894,26.84,95.84,168,2
895,21.4,90.4,92,1
896,28.91,97.91,162,2
897,20.56,89.56,122,1
898,25.91,94.91,146,2
899,28.12,97.12,154,2
900,27.73,96.73,186,2
901,28.15,97.15,157,2
902,18.3,87.3,11,1
903,24.79,93.79,176,2
904,25.07,94.07,133,2
905,24.3,93.3,198,2
906,15.32,84.32,77,1
907,18.64,87.64,45,1
908,21.81,90.81,95,1
909,27.93,96.93,135,2
910,14.79,83.79,24,0
911,13.98,82.98,34,0
912,15.95,84.95,49,1
913,16.0,85.0,54,1
914,12.34,81.34,52,0
915,13.26,82.26,53,0
916,19.04,88.04,85,1
917,28.37,97.37,179,2
918,10.69,79.69,69,0
919,18.67,87.67,48,1
920,20.15,89.15,119,1
921,17.99,86.99,71,1
922,25.57,94.57,183,2
923,14.98,83.98,43,0
924,15.71,84.71,25,1
925,21.72,90.72,124,1
926,10.76,79.76,76,0
927,13.59,82.59,86,0
928,19.75,88.75,117,1
929,15.25,84.25,70,1
930,17.26,86.26,89,1
931,13.65,82.65,1,0
932,10.54,79.54,54,0
933,22.84,91.84,122,1
934,15.01,84.01,46,1
935,10.02,79.02,2,0
936,13.11,82.11,38,0
937,23.37,92.37,176,2
938,16.59,85.59,22,1
939,18.19,87.19,0,1
940,13.14,82.14,41,0
941,18.54,87.54,35,1
942,17.33,86.33,5,1
943,14.02,83.02,38,0
944,24.57,93.57,154,2
945,24.76,93.76,173,2
946,15.93,84.93,47,1
947,21.91,90.91,105,1
948,19.78,88.78,120,1
949,21.99,90.99,113,1
950,20.74,89.74,102,1
951,24.15,93.15,183,2
952,25.1,94.1,136,2
953,12.8,81.8,7,0
954,27.38,96.38,151,2
955,23.36,92.36,175,2
956,22.36,91.36,112,1
957,14.87,83.87,32,0
958,23.5,92.5,189,2
959,17.1,86.1,73,1
960,16.48,85.48,11,1
961,25.37,94.37,163,2
962,11.34,80.34,43,0
963,19.76,88.76,118,1
964,26.99,95.99,183,2
965,10.75,79.75,75,0
966,17.94,86.94,66,1
967,19.24,88.24,104,1
968,14.03,83.03,39,0
969,28.65,97.65,136,2
970,17.76,86.76,48,1
971,12.16,81.16,34,0
972,29.9,98.9,190,2
973,18.97,87.97,78,1
974,25.94,94.94,149,2
975,23.54,92.54,193,2
976,12.33,81.33,51,0
977,18.85,87.85,66,1
978,20.4,89.4,106,1
979,15.69,84.69,23,1
980,28.17,97.17,159,2
981,20.8,89.8,108,1
982,22.12,91.12,126,1
983,18.42,87.42,23,1
984,16.29,85.29,83,1
985,28.79,97.79,150,2
986,14.81,83.81,26,0
987,29.61,98.61,161,2
988,13.92,82.92,28,0
989,23.9,92.9,158,2
990,29.05,98.05,176,2
991,24.17,93.17,185,2
992,18.2,87.2,1,1
993,12.69,81.69,87,0
994,29.99,98.99,199,2
995,20.2,89.2,124,1
996,24.03,93.03,171,2
